# Time [MJD], Angular separation [deg]
5.875449994907407381e+04,5.434469604492187500e+01
5.875491094836776756e+04,5.469923782348632812e+01
5.875532194766145403e+04,5.516240310668945312e+01
5.875573294695514778e+04,5.551178359985351562e+01
5.875614394624883425e+04,5.594459152221679688e+01
5.875655494554252800e+04,5.633758163452148438e+01
5.875696594483621448e+04,5.671892547607421875e+01
5.875737694412990822e+04,5.716941452026367188e+01
5.875778794342359470e+04,5.752045059204101562e+01
5.875819894271728845e+04,5.797176361083984375e+01
5.875860994201097492e+04,5.834333419799804688e+01
5.875902094130466867e+04,5.877276611328125000e+01
5.875943194059835514e+04,5.917490005493164062e+01
5.875984293989204889e+04,5.954537200927734375e+01
5.876025393918573536e+04,5.999380874633789062e+01
5.876066493847942911e+04,6.034481811523437500e+01
5.876107593777311558e+04,6.079492187500000000e+01
5.876148693706680933e+04,6.117384719848632812e+01
5.876189793636049581e+04,6.156897354125976562e+01
5.876230893565418955e+04,6.200198364257812500e+01
5.876271993494787603e+04,6.235197067260742188e+01
5.876313093424156978e+04,6.281779098510742188e+01
5.876354193353525625e+04,6.317690277099609375e+01
5.876395293282895000e+04,6.360606384277343750e+01
5.876436393212263647e+04,6.401197814941406250e+01
5.876477493141633022e+04,6.438356018066406250e+01
5.876518593071001669e+04,6.484473419189453125e+01
5.876559693000371044e+04,6.518799591064453125e+01
5.876600792929739691e+04,6.563928222656250000e+01
5.876641892859109066e+04,6.601988220214843750e+01
5.876682992788477713e+04,6.643563842773437500e+01
5.876724092717847088e+04,6.685144805908203125e+01
5.876765192647215736e+04,6.721417236328125000e+01
5.876806292576585111e+04,6.766716766357421875e+01
5.876847392505953758e+04,6.802935028076171875e+01
5.876888492435323133e+04,6.847557067871093750e+01
5.876929592364691780e+04,6.886632537841796875e+01
5.876970692294061155e+04,6.925653839111328125e+01
5.877011792223429802e+04,6.970383453369140625e+01
5.877052892152799177e+04,7.004731750488281250e+01
5.877093992082167824e+04,7.051503753662109375e+01
5.877135092011537199e+04,7.088324737548828125e+01
5.877176191940905846e+04,7.129872894287109375e+01
5.877217291870275221e+04,7.171851348876953125e+01
5.877258391799643869e+04,7.207750701904296875e+01
5.877299491729013243e+04,7.254536437988281250e+01
5.877340591658382618e+04,7.289640808105468750e+01
5.877381691587751266e+04,7.334119415283203125e+01
5.877422791517120640e+04,7.373554229736328125e+01
5.877463891446489288e+04,7.414520263671875000e+01
5.877504991375858663e+04,7.457633972167968750e+01
5.877546091305227310e+04,7.493277740478515625e+01
5.877587191234596685e+04,7.540377044677734375e+01
5.877628291163965332e+04,7.576103973388671875e+01
5.877669391093334707e+04,7.619771575927734375e+01
5.877710491022703354e+04,7.660035705566406250e+01
5.877751590952072729e+04,7.697739410400390625e+01
5.877792690881441376e+04,7.743862152099609375e+01
5.877833790810810751e+04,7.778372192382812500e+01
5.877874890740179399e+04,7.824004364013671875e+01
5.877915990669548773e+04,7.862070465087890625e+01
5.877957090598917421e+04,7.902882385253906250e+01
5.877998190528286796e+04,7.946401214599609375e+01
5.878039290457655443e+04,7.983623504638671875e+01
5.878080390387024818e+04,8.029225921630859375e+01
5.878121490316393465e+04,8.065302276611328125e+01
5.878162590245762840e+04,8.110713958740234375e+01
5.878203690175131487e+04,8.149530792236328125e+01
5.878244790104500862e+04,8.189221191406250000e+01
5.878285890033869509e+04,8.233638763427734375e+01
5.878326989963238884e+04,8.268273925781250000e+01
5.878368089892607532e+04,8.315543365478515625e+01
5.878409189821976906e+04,8.352358245849609375e+01
5.878450289751345554e+04,8.394925689697265625e+01
5.878491389680714929e+04,8.436662292480468750e+01
5.878532489610083576e+04,8.473832702636718750e+01
5.878573589539452951e+04,8.520770263671875000e+01
5.878614689468821598e+04,8.555899810791015625e+01
5.878655789398190973e+04,8.601299285888671875e+01
5.878696889327559620e+04,8.640499114990234375e+01
5.878737989256928995e+04,8.680006408691406250e+01
5.878779089186297642e+04,8.724786376953125000e+01
5.878820189115667017e+04,8.760924530029296875e+01
5.878861289045035664e+04,8.806794738769531250e+01
5.878902388974405039e+04,8.843842315673828125e+01
5.878943488903773687e+04,8.887850952148437500e+01
5.878984588833143061e+04,8.927930450439453125e+01
5.879025688762511709e+04,8.966725158691406250e+01
5.879066788691881084e+04,9.012091064453125000e+01
5.879107888621250459e+04,9.047409057617187500e+01
5.879148988550619106e+04,9.094415283203125000e+01
5.879190088479988481e+04,9.132268524169921875e+01
5.879231188409357128e+04,9.173872375488281250e+01
5.879272288338726503e+04,9.216964721679687500e+01
5.879313388268095150e+04,9.253117370605468750e+01
5.879354488197464525e+04,9.300482177734375000e+01
5.879395588126833172e+04,9.336260223388671875e+01
5.879436688056202547e+04,9.380331420898437500e+01
5.879477787985571194e+04,9.420704650878906250e+01
5.879518887914940569e+04,9.458876037597656250e+01
5.879559987844309217e+04,9.505036163330078125e+01
5.879601087773678591e+04,9.540689086914062500e+01
5.879642187703047239e+04,9.586711883544921875e+01
5.879683287632416614e+04,9.624854278564453125e+01
5.879724387561785261e+04,9.668562316894531250e+01
5.879765487491154636e+04,9.709925842285156250e+01
5.879806587420523283e+04,9.747768402099609375e+01
5.879847687349892658e+04,9.794735717773437500e+01
5.879888787279261305e+04,9.829708099365234375e+01
5.879929887208630680e+04,9.875627899169921875e+01
5.879970987137999327e+04,9.914476013183593750e+01
5.880012087067368702e+04,9.954666137695312500e+01
5.880053186996737350e+04,9.999195861816406250e+01
5.880094286926106724e+04,1.003451004028320312e+02
5.880135386855475372e+04,1.008211288452148438e+02
5.880176486784844747e+04,1.011900558471679688e+02
5.880217586714213394e+04,1.016252975463867188e+02
5.880258686643582769e+04,1.020423660278320312e+02
5.880299786572951416e+04,1.024392623901367188e+02
5.880340886502320791e+04,1.028924713134765625e+02
5.880381986431689438e+04,1.032443695068359375e+02
5.880423086361058813e+04,1.037201156616210938e+02
5.880464186290427460e+04,1.040947341918945312e+02
5.880505286219796835e+04,1.045176086425781250e+02
5.880546386149165482e+04,1.049447708129882812e+02
5.880587486078534857e+04,1.053100204467773438e+02
5.880628586007903505e+04,1.057861557006835938e+02
5.880669685937272880e+04,1.061436080932617188e+02
5.880710785866641527e+04,1.065961532592773438e+02
5.880751885796010902e+04,1.069976806640625000e+02
5.880792985725379549e+04,1.073743133544921875e+02
5.880834085654748924e+04,1.078292694091796875e+02
5.880875185584117571e+04,1.081837005615234375e+02
5.880916285513486946e+04,1.086598205566406250e+02
5.880957385442856321e+04,1.090385284423828125e+02
5.880998485372224968e+04,1.094609451293945312e+02
5.881039585301594343e+04,1.098909454345703125e+02
5.881080685230962990e+04,1.102563095092773438e+02
5.881121785160332365e+04,1.107346038818359375e+02
5.881162885089701012e+04,1.110943222045898438e+02
5.881203985019070387e+04,1.115408325195312500e+02
5.881245084948439035e+04,1.119453811645507812e+02
5.881286184877808410e+04,1.123391799926757812e+02
5.881327284807177057e+04,1.128022613525390625e+02
5.881368384736546432e+04,1.131636428833007812e+02
5.881409484665915079e+04,1.136433868408203125e+02
5.881450584595284454e+04,1.140098495483398438e+02
5.881491684524653101e+04,1.144525985717773438e+02
5.881532784454022476e+04,1.148642501831054688e+02
5.881573884383391123e+04,1.152473373413085938e+02
5.881614984312760498e+04,1.157185668945312500e+02
5.881656084242129145e+04,1.160701065063476562e+02
5.881697184171498520e+04,1.165335769653320312e+02
5.881738284100867168e+04,1.169232330322265625e+02
5.881779384030236542e+04,1.173325424194335938e+02
5.881820483959605190e+04,1.177774887084960938e+02
5.881861583888974565e+04,1.181383666992187500e+02
5.881902683818343212e+04,1.186180953979492188e+02
5.881943783747712587e+04,1.189871978759765625e+02
5.881984883677081234e+04,1.194290542602539062e+02
5.882025983606450609e+04,1.198450927734375000e+02
5.882067083535819256e+04,1.202470397949218750e+02
5.882108183465188631e+04,1.207009887695312500e+02
5.882149283394557278e+04,1.210527572631835938e+02
5.882190383323926653e+04,1.215320053100585938e+02
5.882231483253295301e+04,1.219068603515625000e+02
5.882272583182664675e+04,1.223339080810546875e+02
5.882313683112033323e+04,1.227600555419921875e+02
5.882354783041402698e+04,1.231340484619140625e+02
5.882395882970771345e+04,1.236119995117187500e+02
5.882436982900140720e+04,1.239697952270507812e+02
5.882478082829509367e+04,1.244288482666015625e+02
5.882519182758878742e+04,1.248292922973632812e+02
5.882560282688247389e+04,1.252300872802734375e+02
5.882601382617616764e+04,1.256884155273437500e+02
5.882642482546985411e+04,1.260405273437500000e+02
5.882683582476354786e+04,1.265194778442382812e+02
5.882724682405724161e+04,1.268964462280273438e+02
5.882765782335092808e+04,1.273227767944335938e+02
5.882806882264462183e+04,1.277517471313476562e+02
5.882847982193830831e+04,1.281197967529296875e+02
5.882889082123200205e+04,1.285988159179687500e+02
5.882930182052568853e+04,1.289576721191406250e+02
5.882971281981938228e+04,1.294316558837890625e+02
5.883012381911306875e+04,1.298178863525390625e+02
5.883053481840676250e+04,1.302377014160156250e+02
5.883094581770044897e+04,1.306782379150390625e+02
5.883135681699414272e+04,1.310435791015625000e+02
5.883176781628782919e+04,1.315247192382812500e+02
5.883217881558152294e+04,1.318893585205078125e+02
5.883258981487520941e+04,1.323360748291015625e+02
5.883300081416890316e+04,1.327465515136718750e+02
5.883341181346258963e+04,1.331325073242187500e+02
5.883382281275628338e+04,1.336027984619140625e+02
5.883423381204996986e+04,1.339584197998046875e+02
5.883464481134366360e+04,1.344241180419921875e+02
5.883505581063735008e+04,1.348124847412109375e+02
5.883546680993104383e+04,1.352520599365234375e+02
5.883587780922473030e+04,1.356733398437500000e+02
5.883628880851842405e+04,1.360538787841796875e+02
5.883669980781211052e+04,1.365192565917968750e+02
5.883711080710580427e+04,1.368869934082031250e+02
5.883752180639949074e+04,1.373508148193359375e+02
5.883793280569318449e+04,1.377456665039062500e+02
5.883834380498687096e+04,1.381509399414062500e+02
5.883875480428056471e+04,1.386035614013671875e+02
5.883916580357425119e+04,1.389568481445312500e+02
5.883957680286794493e+04,1.394384613037109375e+02
5.883998780216163141e+04,1.398132019042968750e+02
5.884039880145532516e+04,1.402491607666015625e+02
5.884080980074901163e+04,1.406739044189453125e+02
5.884122080004270538e+04,1.410534057617187500e+02
5.884163179933639185e+04,1.415319366455078125e+02
5.884204279863008560e+04,1.418889160156250000e+02
5.884245379792377207e+04,1.423682403564453125e+02
5.884286479721746582e+04,1.427500457763671875e+02
5.884327579651115229e+04,1.431750640869140625e+02
5.884368679580484604e+04,1.436086578369140625e+02
5.884409779509853252e+04,1.439763946533203125e+02
5.884450879439222626e+04,1.444577941894531250e+02
5.884491979368591274e+04,1.448197021484375000e+02
5.884533079297960649e+04,1.452685241699218750e+02
5.884574179227330023e+04,1.456753692626953125e+02
5.884615279156698671e+04,1.460706634521484375e+02
5.884656379086068046e+04,1.465366821289062500e+02
5.884697479015436693e+04,1.468896331787109375e+02
5.884738578944806068e+04,1.473673095703125000e+02
5.884779678874174715e+04,1.477513580322265625e+02
5.884820778803544090e+04,1.481746368408203125e+02
5.884861878732912737e+04,1.486111755371093750e+02
5.884902978662282112e+04,1.489954528808593750e+02
5.884944078591650759e+04,1.494589080810546875e+02
5.884985178521020134e+04,1.498211822509765625e+02
5.885026278450388781e+04,1.502854919433593750e+02
5.885067378379758156e+04,1.506762084960937500e+02
5.885108478309126804e+04,1.510856933593750000e+02
5.885149578238496179e+04,1.515319213867187500e+02
5.885190678167864826e+04,1.518932189941406250e+02
5.885231778097234201e+04,1.523741302490234375e+02
5.885272878026602848e+04,1.527438049316406250e+02
5.885313977955972223e+04,1.531860809326171875e+02
5.885355077885340870e+04,1.536036376953125000e+02
5.885396177814710245e+04,1.539864044189453125e+02
5.885437277744078892e+04,1.544603271484375000e+02
5.885478377673448267e+04,1.548124542236328125e+02
5.885519477602816914e+04,1.552758331298828125e+02
5.885560577532186289e+04,1.556675872802734375e+02
5.885601677461554937e+04,1.560728302001953125e+02
5.885642777390924311e+04,1.565205078125000000e+02
5.885683877320292959e+04,1.568933410644531250e+02
5.885724977249662334e+04,1.573575134277343750e+02
5.885766077179030981e+04,1.577283782958984375e+02
5.885807177108400356e+04,1.581857147216796875e+02
5.885848277037769003e+04,1.585854339599609375e+02
5.885889376967138378e+04,1.589846649169921875e+02
5.885930476896507025e+04,1.594383850097656250e+02
5.885971576825876400e+04,1.597914886474609375e+02
5.886012676755245047e+04,1.602687225341796875e+02
5.886053776684614422e+04,1.606438446044921875e+02
5.886094876613983070e+04,1.610679473876953125e+02
5.886135976543352444e+04,1.614948577880859375e+02
5.886177076472721092e+04,1.618605041503906250e+02
5.886218176402090467e+04,1.623366699218750000e+02
5.886259276331459114e+04,1.626934967041015625e+02
5.886300376260828489e+04,1.631457061767578125e+02
5.886341476190197864e+04,1.635454254150390625e+02
5.886382576119566511e+04,1.639404907226562500e+02
5.886423676048935886e+04,1.643969726562500000e+02
5.886464775978304533e+04,1.647579498291015625e+02
5.886505875907673908e+04,1.652334594726562500e+02
5.886546975837042555e+04,1.655940704345703125e+02
5.886588075766411930e+04,1.660344238281250000e+02
5.886629175695780577e+04,1.664387207031250000e+02
5.886670275625149952e+04,1.668178863525390625e+02
5.886711375554518600e+04,1.672800140380859375e+02
5.886752475483887974e+04,1.676259460449218750e+02
5.886793575413256622e+04,1.680838470458984375e+02
5.886834675342625997e+04,1.684634704589843750e+02
5.886875775271994644e+04,1.688704223632812500e+02
5.886916875201364019e+04,1.693025207519531250e+02
5.886957975130732666e+04,1.696558837890625000e+02
5.886999075060102041e+04,1.701222534179687500e+02
5.887040174989470688e+04,1.704775543212890625e+02
5.887081274918840063e+04,1.709059448242187500e+02
5.887122374848208710e+04,1.713013305664062500e+02
5.887163474777578085e+04,1.716874389648437500e+02
5.887204574706946732e+04,1.721166992187500000e+02
5.887245674636316107e+04,1.724495391845703125e+02
5.887286774565684755e+04,1.729000244140625000e+02
5.887327874495054130e+04,1.732476959228515625e+02
5.887368974424422777e+04,1.736472473144531250e+02
5.887410074353792152e+04,1.740324707031250000e+02
5.887451174283160799e+04,1.743712005615234375e+02
5.887492274212530174e+04,1.747903747558593750e+02
5.887533374141898821e+04,1.750967712402343750e+02
5.887574474071268196e+04,1.754820556640625000e+02
5.887615574000636843e+04,1.758018341064453125e+02
5.887656673930006218e+04,1.761104583740234375e+02
5.887697773859374865e+04,1.764355468750000000e+02
5.887738873788744240e+04,1.766667022705078125e+02
5.887779973718112888e+04,1.769438476562500000e+02
5.887821073647482262e+04,1.771230773925781250e+02
5.887862173576850910e+04,1.772774810791015625e+02
5.887903273506220285e+04,1.773703308105468750e+02
5.887944373435588932e+04,1.773962249755859375e+02
5.887985473364958307e+04,1.773514251708984375e+02
5.888026573294326954e+04,1.772633361816406250e+02
5.888067673223696329e+04,1.770810546875000000e+02
5.888108773153064976e+04,1.768886718750000000e+02
5.888149873082434351e+04,1.766388092041015625e+02
5.888190973011803726e+04,1.763470458984375000e+02
5.888232072941172373e+04,1.760813293457031250e+02
5.888273172870541748e+04,1.757102508544921875e+02
5.888314272799910395e+04,1.754174194335937500e+02
5.888355372729279770e+04,1.750439758300781250e+02
5.888396472658648418e+04,1.746927032470703125e+02
5.888437572588017792e+04,1.743522644042968750e+02
5.888478672517386440e+04,1.739347686767578125e+02
5.888519772446755815e+04,1.736074981689453125e+02
5.888560872376124462e+04,1.731808013916015625e+02
5.888601972305493837e+04,1.728239135742187500e+02
5.888643072234862484e+04,1.724110717773437500e+02
5.888684172164231859e+04,1.720179901123046875e+02
5.888725272093600506e+04,1.716561431884765625e+02
5.888766372022969881e+04,1.712154083251953125e+02
5.888807471952338528e+04,1.708678588867187500e+02
5.888848571881707903e+04,1.704233551025390625e+02
5.888889671811076551e+04,1.700464782714843750e+02
5.888930771740445925e+04,1.696552124023437500e+02
5.888971871669814573e+04,1.692211608886718750e+02
5.889012971599183948e+04,1.688756713867187500e+02
5.889054071528552595e+04,1.684085845947265625e+02
5.889095171457921970e+04,1.680470733642578125e+02
5.889136271387290617e+04,1.676191864013671875e+02
5.889177371316659992e+04,1.672097473144531250e+02
5.889218471246028639e+04,1.668375701904296875e+02
5.889259571175398014e+04,1.663731536865234375e+02
5.889300671104766661e+04,1.660261077880859375e+02
5.889341771034136036e+04,1.655721893310546875e+02
5.889382870963504683e+04,1.651863250732421875e+02
5.889423970892874058e+04,1.647687835693359375e+02
5.889465070822242706e+04,1.643465881347656250e+02
5.889506170751612080e+04,1.639852752685546875e+02
5.889547270680980728e+04,1.635280303955078125e+02
5.889588370610350103e+04,1.631606750488281250e+02
5.889629470539718750e+04,1.627130279541015625e+02
5.889670570469088125e+04,1.623156127929687500e+02
5.889711670398456772e+04,1.619234924316406250e+02
5.889752770327826147e+04,1.614685668945312500e+02
5.889793870257194794e+04,1.611212921142578125e+02
5.889834970186564169e+04,1.606496124267578125e+02
5.889876070115932816e+04,1.602748413085937500e+02
5.889917170045302191e+04,1.598556671142578125e+02
5.889958269974670839e+04,1.594301605224609375e+02
5.889999369904040213e+04,1.590680999755859375e+02
5.890040469833409588e+04,1.585940246582031250e+02
5.890081569762778236e+04,1.582378082275390625e+02
5.890122669692147610e+04,1.577958374023437500e+02
5.890163769621516258e+04,1.573952941894531250e+02
5.890204869550885633e+04,1.569848175048828125e+02
5.890245969480254280e+04,1.565478210449218750e+02
5.890287069409623655e+04,1.561892089843750000e+02
5.890328169338992302e+04,1.557139892578125000e+02
5.890369269268361677e+04,1.553510131835937500e+02
5.890410369197730324e+04,1.549123992919921875e+02
5.890451469127099699e+04,1.545044860839843750e+02
5.890492569056468346e+04,1.541253662109375000e+02
5.890533668985837721e+04,1.536592712402343750e+02
5.890574768915206369e+04,1.533116455078125000e+02
5.890615868844575743e+04,1.528528900146484375e+02
5.890656968773944391e+04,1.524684600830078125e+02
5.890698068703313766e+04,1.520634307861328125e+02
5.890739168632682413e+04,1.516232604980468750e+02
5.890780268562051788e+04,1.512506713867187500e+02
5.890821368491420435e+04,1.507928161621093750e+02
5.890862468420789810e+04,1.504283447265625000e+02
5.890903568350158457e+04,1.499736938476562500e+02
5.890944668279527832e+04,1.495808563232421875e+02
5.890985768208896479e+04,1.491841125488281250e+02
5.891026868138265854e+04,1.487361755371093750e+02
5.891067968067634501e+04,1.483887634277343750e+02
5.891109067997003876e+04,1.479160003662109375e+02
5.891150167926372524e+04,1.475457305908203125e+02
