# Time [MJD], Angular separation [deg]
5.728350008796295879e+04,4.460551452636718750e+01
5.728391391578836192e+04,4.501431655883789062e+01
5.728432774361376505e+04,4.542858886718750000e+01
5.728474157143916818e+04,4.579945755004882812e+01
5.728515539926457132e+04,4.624317932128906250e+01
5.728556922708997445e+04,4.658978271484375000e+01
5.728598305491537758e+04,4.704250717163085938e+01
5.728639688274077344e+04,4.741535568237304688e+01
5.728681071056617657e+04,4.781744384765625000e+01
5.728722453839157970e+04,4.824242019653320312e+01
5.728763836621698283e+04,4.859342575073242188e+01
5.728805219404238596e+04,4.905688858032226562e+01
5.728846602186778910e+04,4.940911865234375000e+01
5.728887984969319223e+04,4.983812713623046875e+01
5.728929367751859536e+04,5.023301315307617188e+01
5.728970750534399849e+04,5.060425567626953125e+01
5.729012133316940162e+04,5.105744171142578125e+01
5.729053516099480476e+04,5.139813613891601562e+01
5.729094898882020789e+04,5.184621429443359375e+01
5.729136281664561102e+04,5.222068023681640625e+01
5.729177664447101415e+04,5.262251663208007812e+01
5.729219047229641001e+04,5.304994583129882812e+01
5.729260430012181314e+04,5.341719436645507812e+01
5.729301812794721627e+04,5.386534881591796875e+01
5.729343195577261940e+04,5.421980285644531250e+01
5.729384578359802254e+04,5.466731262207031250e+01
5.729425961142342567e+04,5.504803848266601562e+01
5.729467343924882880e+04,5.543891143798828125e+01
5.729508726707423193e+04,5.587572097778320312e+01
5.729550109489963506e+04,5.621666717529296875e+01
5.729591492272503820e+04,5.668152236938476562e+01
5.729632875055044133e+04,5.704147720336914062e+01
5.729674257837584446e+04,5.746355056762695312e+01
5.729715640620124759e+04,5.787262344360351562e+01
5.729757023402665072e+04,5.824010848999023438e+01
5.729798406185204658e+04,5.870249176025390625e+01
5.729839788967744971e+04,5.904758071899414062e+01
5.729881171750285284e+04,5.949569702148437500e+01
5.729922554532825598e+04,5.987921905517578125e+01
5.729963937315365911e+04,6.027082443237304688e+01
5.730005320097906224e+04,6.070960617065429688e+01
5.730046702880446537e+04,6.106633758544921875e+01
5.730088085662986850e+04,6.151795578002929688e+01
5.730129468445527164e+04,6.188140487670898438e+01
5.730170851228067477e+04,6.232063293457031250e+01
5.730212234010607790e+04,6.271328735351562500e+01
5.730253616793148103e+04,6.309927749633789062e+01
5.730294999575688416e+04,6.354456329345703125e+01
5.730336382358228002e+04,6.389044952392578125e+01
5.730377765140768315e+04,6.435536956787109375e+01
5.730419147923308628e+04,6.472575378417968750e+01
5.730460530705848942e+04,6.513830566406250000e+01
5.730501913488389255e+04,6.555852508544921875e+01
5.730543296270929568e+04,6.591602325439453125e+01
5.730584679053469881e+04,6.638325500488281250e+01
5.730626061836010194e+04,6.673445892333984375e+01
5.730667444618550508e+04,6.717076873779296875e+01
5.730708827401090821e+04,6.756554412841796875e+01
5.730750210183631134e+04,6.795144653320312500e+01
5.730791592966171447e+04,6.840341949462890625e+01
5.730832975748711760e+04,6.875801849365234375e+01
5.730874358531252074e+04,6.921166992187500000e+01
5.730915741313791659e+04,6.958361053466796875e+01
5.730957124096331972e+04,7.001803588867187500e+01
5.730998506878872286e+04,7.042058563232421875e+01
5.731039889661412599e+04,7.079537963867187500e+01
5.731081272443952912e+04,7.124714660644531250e+01
5.731122655226493225e+04,7.160028076171875000e+01
5.731164038009033538e+04,7.205461120605468750e+01
5.731205420791573852e+04,7.243497467041015625e+01
5.731246803574114165e+04,7.283989715576171875e+01
5.731288186356654478e+04,7.327452850341796875e+01
5.731329569139194791e+04,7.362915039062500000e+01
5.731370951921735104e+04,7.410018920898437500e+01
