# tmin_mjd tmax_mjd luminosity luminosity_err
5.95195e+04 5.95310e+04 3.78911e+44 4.20676e+30
5.95310e+04 5.95425e+04 3.79446e+43 4.21269e+29
5.95655e+04 5.95770e+04 4.30244e+44 4.77666e+30
5.95770e+04 5.95885e+04 7.46553e+44 8.28840e+30
5.95885e+04 5.96000e+04 4.87610e+45 5.41356e+31
5.96000e+04 5.96115e+04 1.56317e+45 1.73546e+31
5.96575e+04 5.96690e+04 8.77717e+44 9.74462e+30
5.96690e+04 5.96805e+04 3.00470e+45 3.33589e+31
5.96920e+04 5.97035e+04 8.60754e+44 9.55629e+30
5.97035e+04 5.97150e+04 2.89154e+44 3.21026e+30
5.97380e+04 5.97495e+04 9.18648e+44 1.01990e+31
